Temperature   	Mass18	Mass51	Mass67	Mass28
3.5910E+2	8.5764E-11	8.3245E-12	9.5590E-13	1.1110E-10
3.5949E+2	8.5677E-11	6.2414E-12	6.5246E-12	1.4349E-10
3.5986E+2	3.7619E-11	6.7170E-12	5.6858E-12	1.0296E-10
3.6001E+2	2.6259E-11	7.9543E-12	2.1137E-12	1.1723E-10
3.6057E+2	7.2502E-11	8.3979E-12	2.2257E-12	1.0724E-10
3.6068E+2	1.1608E-10	1.8799E-12	1.7169E-12	8.4652E-11
3.6127E+2	1.5931E-10	4.1802E-12	6.9029E-12	9.7621E-11
3.6140E+2	8.1953E-11	5.4902E-12	8.0676E-12	8.4706E-11
3.6187E+2	8.5383E-11	1.3478E-11	5.9629E-12	1.1959E-10
3.6225E+2	1.1418E-10	2.2891E-12	1.3139E-12	9.8837E-11
3.6270E+2	9.9068E-11	5.9564E-12	8.5855E-12	5.9871E-11
3.6297E+2	1.4497E-10	8.1556E-12	5.2116E-12	5.9832E-11
3.6327E+2	7.5464E-11	7.1687E-12	4.5795E-12	1.2406E-10
3.6369E+2	9.6993E-11	1.2977E-11	6.8611E-12	1.1302E-10
3.6385E+2	8.7610E-11	8.8825E-12	2.9549E-12	1.0542E-10
3.6447E+2	9.9167E-11	8.8215E-12	5.6456E-12	1.0963E-10
3.6457E+2	1.2411E-10	2.5585E-12	1.9162E-12	8.7140E-11
3.6515E+2	1.1389E-10	8.3148E-12	5.1471E-12	9.5796E-11
3.6529E+2	7.9252E-11	6.9215E-12	1.2899E-12	1.1057E-10
3.6583E+2	8.5198E-11	3.7677E-12	2.2441E-12	1.3938E-10
3.6619E+2	7.8818E-11	7.1814E-12	5.3955E-12	1.0974E-10
3.6648E+2	1.0102E-10	5.5023E-12	8.0260E-12	9.4630E-11
3.6670E+2	7.4364E-11	7.3086E-12	7.1442E-12	1.1627E-10
3.6700E+2	1.2617E-10	6.3883E-12	2.3102E-12	6.4079E-11
